CustomerID,InvoiceDate
17069.0,2021-01-01
,2021-01-01
17085.0,2021-01-01
12721.0,2021-01-01
16422.0,2021-01-01
15312.0,2021-01-01
14298.0,2021-01-01
14527.0,2021-01-01
13319.0,2021-01-01
18097.0,2021-01-01
14083.0,2021-01-01
15867.0,2021-01-01
15460.0,2021-01-01
15034.0,2021-01-02
17961.0,2021-01-02
12423.0,2021-01-02
,2021-01-02
15208.0,2021-01-02
14911.0,2021-01-02
16270.0,2021-01-02
14646.0,2021-01-02
12748.0,2021-01-02
16477.0,2021-01-03
17894.0,2021-01-03
,2021-01-03
13922.0,2021-01-04
14085.0,2021-01-04
,2021-01-04
12585.0,2021-01-04
14911.0,2021-01-04
18116.0,2021-01-04
16656.0,2021-01-16
16255.0,2021-01-16
14606.0,2021-01-16
17841.0,2021-01-16
,2021-01-16
14210.0,2021-01-16
17975.0,2021-01-16
13680.0,2021-01-16
15164.0,2021-01-16
14221.0,2021-01-16
15808.0,2021-01-16
13694.0,2021-01-17
12921.0,2021-01-17
15841.0,2021-01-17
,2021-01-17
15311.0,2021-01-17
13089.0,2021-01-17
14527.0,2021-01-17
18109.0,2021-01-17
16033.0,2021-01-17
15093.0,2021-01-17
14653.0,2021-01-17
15358.0,2021-01-17
15464.0,2021-01-17
15034.0,2021-01-17
15298.0,2021-01-17
13097.0,2021-01-18
18062.0,2021-01-18
15271.0,2021-01-18
12415.0,2021-01-18
17368.0,2021-01-18
13680.0,2021-01-18
14680.0,2021-01-18
14258.0,2021-01-18
15719.0,2021-01-18
17634.0,2021-01-18
12841.0,2021-01-18
15379.0,2021-01-18
18283.0,2021-01-18
12735.0,2021-01-18
,2021-01-18
13576.0,2021-01-18
13656.0,2021-01-18
14505.0,2021-01-18
13081.0,2021-01-18
15845.0,2021-01-18
14702.0,2021-01-18
13187.0,2021-01-18
16551.0,2021-01-19
13842.0,2021-01-19
,2021-01-19
12829.0,2021-01-19
12583.0,2021-01-19
14217.0,2021-01-19
12501.0,2021-01-19
16779.0,2021-01-19
14298.0,2021-01-19
12484.0,2021-01-19
15601.0,2021-01-19
15311.0,2021-01-19
13233.0,2021-01-19
12480.0,2021-01-19
14672.0,2021-01-19
13593.0,2021-01-19
17243.0,2021-01-21
16923.0,2021-01-21
13162.0,2021-01-21
13183.0,2021-01-21
17796.0,2021-01-21
14800.0,2021-01-21
17114.0,2021-01-21
15708.0,2021-01-21
16326.0,2021-01-21
12793.0,2021-01-21
17555.0,2021-01-21
14606.0,2021-01-21
17800.0,2021-01-21
16748.0,2021-01-21
14755.0,2021-01-21
14702.0,2021-01-21
15005.0,2021-01-21
13565.0,2021-01-21
17841.0,2021-01-21
14395.0,2021-01-21
13451.0,2021-01-21
12766.0,2021-01-21
,2021-01-22
12500.0,2021-01-22
13004.0,2021-01-22
12524.0,2021-01-22
14321.0,2021-01-22
14229.0,2021-01-22
16497.0,2021-01-22
17406.0,2021-01-22
15061.0,2021-01-22
15281.0,2021-01-22
15311.0,2021-01-22
15867.0,2021-01-22
17450.0,2021-01-23
14320.0,2021-01-23
12393.0,2021-01-23
17742.0,2021-01-23
16122.0,2021-01-23
12601.0,2021-01-23
17365.0,2021-01-23
12540.0,2021-01-23
14669.0,2021-01-23
14209.0,2021-01-23
,2021-01-23
13102.0,2021-01-23
12724.0,2021-01-23
13862.0,2021-01-23
,2021-01-24
12523.0,2021-01-24
13488.0,2021-01-24
18109.0,2021-01-24
17841.0,2021-01-24
14587.0,2021-01-24
14606.0,2021-01-24
15311.0,2021-01-24
17338.0,2021-01-24
12652.0,2021-01-24
14167.0,2021-01-24
17364.0,2021-01-24
,2021-01-25
12951.0,2021-01-25
15835.0,2021-01-25
16161.0,2021-01-25
13993.0,2021-01-25
14085.0,2021-01-25
16315.0,2021-01-25
13093.0,2021-01-25
16395.0,2021-01-25
16503.0,2021-01-25
15513.0,2021-01-25
16814.0,2021-01-25
13246.0,2021-01-25
15107.0,2021-01-25
15916.0,2021-01-25
18085.0,2021-01-25
12490.0,2021-01-26
13385.0,2021-01-26
15626.0,2021-01-26
,2021-01-26
16233.0,2021-01-26
15213.0,2021-01-26
17581.0,2021-01-26
18106.0,2021-01-26
14646.0,2021-01-26
17685.0,2021-01-26
15033.0,2021-01-26
15570.0,2021-01-26
14329.0,2021-01-26
17402.0,2021-01-26
14156.0,2021-01-26
17954.0,2021-01-26
16746.0,2021-01-28
16206.0,2021-01-28
12748.0,2021-01-28
